OBJECTID,Loc_name,Status,Score,Match_type,Match_addr,Side,Long,Lat,Disp_Lon,Disp_Lat,Addr_type,House,PreDir,PreType,StreetName,SufType,SufDir,City,Province,Postal,ZIP,ZIP4,ZIP4_TYPE,User_fld,State,Ldu,xmin,xmax,ymin,ymax,ARC_Address,ARC_City,ARC_State,ARC_Zip,ARC_Zip4,ARC_Country,ID,Name,Artist,Type,Address,City_1,State_1,Website,Phone,Class,x,y
64,US_RoofTop,M,100,A,"500 Washington St SE, Olympia, WA, 98501",R,-122.900241,47.044016,-122.900091,47.04404,Address,,,,,,,,,,,,,,,,0,0,0,0,500 Washington Street Southeast,Olympia,WA,,,,64,State of the Arts Gallery,"Brett Varney, Oil",m,500 Washington Street Southeast,Olympia,WA,http://www.thestateofthearts.com/,(360) 705-0317,2,-122.900172,47.04405222
65,US_RoofTop,M,100,A,"900 Plum St SE, Olympia, WA, 98501",R,-122.891961,47.041065,-122.890491,47.04104,Address,,,,,,,,,,,,,,,,0,0,0,0,900 Plum St SE,Olympia,WA,,,,65,"Olympia Parks, Arts & Recreation",Hands On Activity & Face Painting,e,900 Plum St SE,Olympia,WA,http://olympiawa.gov/parks,(360) 753-8380,1,-122.8952889,47.04517239
66,US_RoofTop,M,100,A,"512 Washington St SE, Olympia, WA, 98501",R,-122.900201,47.043755,-122.899891,47.04379,Address,,,,,,,,,,,,,,,,0,0,0,0,512 Washington Street Southeast,Olympia,WA,,,,66,The Washington Center,"Olympia Artspace Alliance; PLYWOOD: History, Design & Application",e,512 Washington Street Southeast,Olympia,WA,http://www.washingtoncenter.org/,(360) 753-8586,1,-122.9001109,47.04375547
67,US_Streets,M,100,A,"524 Washington St SE, Olympia, WA, 98501",R,-122.900186,47.043936,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,524 Washington Street Southeast,Olympia,WA,,,,67,Drees,"Adity Karande, Jewelry",e,524 Washington Street Southeast,Olympia,WA,http://www.dreesofolympia.com/,(360) 357-7177,1,-122.9000784,47.04345773
68,US_RoofTop,M,100,A,"116 Legion Way SE, Olympia, WA, 98501",L,-122.900552,47.043306,-122.900591,47.04353,Address,,,,,,,,,,,,,,,,0,0,0,0,116 Legion Way Southeast,Olympia,WA,,,,68,Urban Onion & Olympia Ballroom,"Denise & Rita Alborn, Textiles; Dale Baird, Wooden Boxes; Jim Chamberlain, Photography; Judi Colwell, Fluid Painting; Reva Giese, Jewelry; Steve Hovelson, Pastel Paintings; Karen Kelso, Jewelry; Christine Malek, Sweater Bears; Kathy O�Shea, Pottery;  Neel",e,116 Legion Way Southeast,Olympia,WA,http://www.olympiaballroom.com/,(360) 359-8636,1,-122.9005632,47.04338321
69,US_RoofTop,M,100,A,"116 Legion Way SE, Olympia, WA, 98501",L,-122.900552,47.043306,-122.900591,47.04353,Address,,,,,,,,,,,,,,,,0,0,0,0,116 Legion Way Southeast,Olympia,WA,,,,69,Fireside Bookstore,"Joan Behlke, Repurposed Wool Quilts; Julia Smit, Repurposed Wool Quilts",e,116 Legion Way Southeast,Olympia,WA,,(360) 352-4006,1,-122.9004236,47.04339334
70,US_RoofTop,M,100,A,"116 Legion Way SE, Olympia, WA, 98501",L,-122.900552,47.043306,-122.900591,47.04353,Address,,,,,,,,,,,,,,,,0,0,0,0,116 Legion Way SE,Olympia,WA,,,,70,Salon Centre,"Laurie Barnoski, Photography; Susan Glendenning & Students, Photography; Nicole Mendonca, Jewelry",e,116 Legion Way SE,Olympia,WA,http://www.saloncentre.net/,(360) 352-7247,1,-122.9007474,47.04337107
71,US_Streets,M,100,A,"515 Washington St SE, Olympia, WA, 98501",L,-122.900359,47.044005,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,515 Washington Street Southeast,Olympia,WA,,,,71,Christian Science Reading Room,"Paula Ensign, Oil Painting",e,515 Washington Street Southeast,Olympia,WA,http://csolympia.com/reading-room/,(360) 352-1572,1,-122.9003994,47.04361222
72,US_Streets,M,100,A,"511 Washington St SE, Olympia, WA, 98501",L,-122.900364,47.044037,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,511 Washington Street Southeast,Olympia,WA,,,,72,Envy Hair Studio,"Oly Girl Photography, Photography",e,511 Washington Street Southeast,Olympia,WA,http://www.schedulicity.com/Scheduling/BusinessInfo.aspx?business=RAEK7F,(360) 705-3111,1,-122.9004043,47.04375187
73,US_Streets,M,100,A,"507 Washington St SE, Olympia, WA, 98501",L,-122.900369,47.04407,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,507 Washington Street Southeast,Olympia,WA,,,,73,De Colores Books,"Ed Seeberger, Paintings",m,507 Washington Street Southeast,Olympia,WA,,(360) 357-9400,2,-122.9004063,47.04366477
74,US_Streets,M,100,A,"121 5th Ave SE, Olympia, WA, 98501",R,-122.901277,47.044025,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,121 5th Avenue Southeast,Olympia,WA,,,,74,Wind Up Here,"Frank Frazee, Painting & On Site Caricatures; China Star, Sculpture; Devina Sunshine, Youth Drawing; Wigglin Wasabi, Textiles; Stream Team, Youth Batik; Westside Cooperative Preschool, Mixed Media Youth Art",w,121 5th Avenue Southeast,Olympia,WA,http://www.winduphere.com/,(360) 943-9045,3,-122.9004476,47.04403738
75,US_Streets,M,100,A,"315 5th Ave SE, Olympia, WA, 98501",R,-122.898867,47.044197,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,315 5th Avenue Southeast,Olympia,WA,,,,75,Propel Insurance,"North Thurston Public Schools, Various Youth Art",w,315 5th Avenue Southeast,Olympia,WA,http://www.propelinsurance.com/,(360) 352-7676,3,-122.8982689,47.04419215
76,US_Streets,M,100,A,"313 5th Ave SE, Olympia, WA, 98501",R,-122.89889,47.044195,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,313 5th Ave SE,Olympia,WA,,,,76,Oly Vegan,"Ryan Adams, Acrylic & Found Objects",w,313 5th Ave SE,Olympia,WA,http://olyvegan.tumblr.com/,360-500-0900�,3,-122.8983735,47.04418575
77,US_RoofTop,M,100,A,"223 5th Ave SE, Olympia, WA, 98501",R,-122.899368,47.044192,-122.899361,47.04396,Address,,,,,,,,,,,,,,,,0,0,0,0,223 5th Avenue Southeast,Olympia,WA,,,,77,First Citizens Bank,"Dottie Freemantle, Found Art Assemblage; Sarah Molby, Acrylic",e,223 5th Avenue Southeast,Olympia,WA,https://www.firstcitizens.com/,(360) 352-2500,1,-122.8992425,47.04410089
78,US_Streets,M,100,A,"211 5th Ave SE, Olympia, WA, 98501",R,-122.900138,47.044106,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,211 5th Avenue Southeast,Olympia,WA,,,,78,Darby's Cafe,All Employee Art Show; Multi Media,e,211 5th Avenue Southeast,Olympia,WA,,(360) 357-6229,1,-122.89978,47.04406946
79,US_RoofTop,M,100,A,"209 5th Ave SE, Olympia, WA, 98501",R,-122.899849,47.044152,-122.899851,47.04406,Address,,,,,,,,,,,,,,,,0,0,0,0,209 5th Avenue Southeast,Olympia,WA,,,,79,Buck's Fifth Ave*,"Benjamin Alix, Photography & Oil Painting; Olympia Fellowship of Reconciliation & Olympic View Elementary School, Mixed Media Youth Art",m,209 5th Avenue Southeast,Olympia,WA,http://www.culinaryexotica.mybigcommerce.com/,(360) 352-9301,2,-122.8998862,47.04405855
80,US_RoofTop,M,100,A,"119 5th Ave SE, Olympia, WA, 98501",R,-122.900769,47.044092,-122.900631,47.04388,Address,,,,,,,,,,,,,,,,0,0,0,0,119 Fifth Avenue Southeast,Olympia,WA,,,,80,Whodunit? Books,"Ridgeline Middle School, Multi Media Youth Art",e,119 Fifth Avenue Southeast,Olympia,WA,,(360) 352-8252,1,-122.9005866,47.04402498
81,US_RoofTop,M,90.97,A,"113 5th Ave SW, Olympia, WA, 98501",R,-122.902228,47.043992,-122.902221,47.04385,Address,,,,,,,,,,,,,,,,0,0,0,0,113 5th Avenue Southeast,Olympia,WA,,,,81,Radiance Herbs & Massage,"Adult Survivor Group, Mixed Media; Lincoln Options, Mixed Media Youth Art",e,113 5th Avenue Southeast,Olympia,WA,http://www.radianceherbs.com/,(360) 357-5250,1,-122.9007387,47.04401588
82,US_RoofTop,M,100,A,"423 Washington St SE, Olympia, WA, 98501",L,-122.900369,47.044323,-122.900571,47.0443,Address,,,,,,,,,,,,,,,,0,0,0,0,423 Washington Street Southeast,Olympia,WA,,,,82,Timberland Bank,"Taylor Clinton, Mixed Media",e,423 Washington Street Southeast,Olympia,WA,http://www.timberlandbank.com/,(360) 943-5496,1,-122.9004959,47.04423827
83,US_RoofTop,M,100,A,"410 Capitol Way S, Olympia, WA, 98501",R,-122.9016,47.044525,-122.901231,47.04456,Address,,,,,,,,,,,,,,,,0,0,0,0,410 Capitol Way South,Olympia,WA,,,,83,Maddox & Laffoon P.S.,"Children of Dravet Syndrome Foundation, Watercolor & Ink Youth Art",e,410 Capitol Way South,Olympia,WA,http://www.maddox-laffoon.com/,(360) 786-8276,1,-122.9013112,47.04454713
84,US_RoofTop,M,100,A,"116 5th Ave SE, Olympia, WA, 98501",L,-122.900772,47.044147,-122.900801,47.04436,Address,,,,,,,,,,,,,,,,0,0,0,0,116 5th Avenue Southeast,Olympia,WA,,,,84,Lost Children & Information Location,Sponsored by the Olympia Downtown Association,e,116 5th Avenue Southeast,Olympia,WA,,,1,-122.9008901,47.04421186
85,US_RoofTop,M,100,A,"116 5th Ave SE, Olympia, WA, 98501",L,-122.900772,47.044147,-122.900801,47.04436,Address,,,,,,,,,,,,,,,,0,0,0,0,116 5th Avenue Southeast,Olympia,WA,,,,85,Bonaventure,"Lynn Guenard, Watercolor",e,116 5th Avenue Southeast,Olympia,WA,http://www.bonaventureshoes.com/,(360) 943-4899,1,-122.9007951,47.04421996
86,US_RoofTop,M,100,A,"116 5th Ave SE, Olympia, WA, 98501",L,-122.900772,47.044147,-122.900801,47.04436,Address,,,,,,,,,,,,,,,,0,0,0,0,116 5th Avenue Southeast,Olympia,WA,,,,86,Olympia Wine Tasting Bar,"Kim Talley, Mixed Media",e,116 5th Avenue Southeast,Olympia,WA,http://salidawine.com/our-winery-tasting-room/,(360) 359-4288,1,-122.9009793,47.04420579
87,US_RoofTop,M,100,A,"116 5th Ave SE, Olympia, WA, 98501",L,-122.900772,47.044147,-122.900801,47.04436,Address,,,,,,,,,,,,,,,,0,0,0,0,116 5th Ave. SE,Olympia,WA,,,,87,VUE | Vision Uniquely Experienced,"Sophie Stimson, Bronze & Ceramic Sculpture",w,116 5th Ave. SE,Olympia,WA,http://vueolympia.com/,(360) 489-0626,3,-122.9010595,47.04419971
88,US_Streets,M,100,A,"106 5th Ave SE, Olympia, WA, 98501",L,-122.901464,47.044122,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,106 5th Avenue Southeast,Olympia,WA,,,,88,Precious Metalsmith,"Ron Hinton, Bronze Sculpture; Christina McVeigh, Acrylic, Drawing & Etching; Anne St. Jean, Watercolor & Pastel; Chris & Joanna Thornton, Jewelry",m,106 5th Avenue Southeast,Olympia,WA,http://www.preciousmetalsmith.com/,(360) 870-4391,2,-122.9013265,47.04418305
89,US_Streets,M,100,A,"422 Capitol Way S, Olympia, WA, 98501",R,-122.901578,47.044702,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,422 Capitol Way S,Olympia,WA,,,,89,Super Silver,"Greg Mennegar, Digital Photography; Oly Images Studio: Diana Fairbanks, Kathleen Guest, Dorothea Hougham Paulson",e,422 Capitol Way S,Olympia,WA,,(360) 943-0556,1,-122.9014111,47.04430118
90,US_CityState,M,100,A,"Olympia, WA",,-122.891359,47.039226,0,0,City,,,,,,,,,,,,,,,,-122.964051,-122.823091,47.00352,47.07799,416 Capitol Way South,Olympia,WA,,,,90,Compass Rose,"Eric Fleming, Mixed Media; James Brown, Oil & Acrylic",e,416 Capitol Way South,Olympia,WA,http://compassroseolympia.com/,(360) 236-0788,1,-122.9014018,47.04423855
91,US_RoofTop,M,100,A,"414 Capitol Way S, Olympia, WA, 98501",R,-122.901581,47.044385,-122.901211,47.04442,Address,,,,,,,,,,,,,,,,0,0,0,0,414 Capitol Way South,Olympia,WA,,,,91,The Popinjay Inc.,"Jill Carter, Illustrations & Shadowboxes; Lois Yoshida, Sumi Painting",e,414 Capitol Way South,Olympia,WA,,(360) 352-9841,1,-122.9014523,47.04444464
92,US_RoofTop,M,100,A,"410 Capitol Way S, Olympia, WA, 98501",R,-122.9016,47.044525,-122.901231,47.04456,Address,,,,,,,,,,,,,,,,0,0,0,0,410 Capitol Way South,Olympia,WA,,,,92,Hot Toddy,"Lonnie L. Spikes Jr., Watercolor; Sam Winters, Furniture From Recycled Materials; Katie Wulf, Acrylic",w,410 Capitol Way South,Olympia,WA,http://www.hottoddyolympia.com/,(360) 753-0868,3,-122.9014331,47.04454308
93,US_RoofTop,M,100,A,"406 Capitol Way S, Olympia, WA, 98501",R,-122.901611,47.044615,-122.901241,47.04465,Address,,,,,,,,,,,,,,,,0,0,0,0,406 Capitol Way South,Olympia,WA,,,,93,Archibald Sisters,"Smashley DeLancy, Repurposed Materials",w,406 Capitol Way South,Olympia,WA,http://www.archibaldsisters.com/,(360) 943-2707,3,-122.9014432,47.04437942
94,US_RoofTop,M,100,A,"500 Capitol Way S, Olympia, WA, 98501",R,-122.901511,47.043935,-122.901141,47.04397,Address,,,,,,,,,,,,,,,,0,0,0,0,500 Capitol Way South,Olympia,WA,,,,94,Acqua Via,"Clayton Donnelly, Jewelry; Connie Taylor, Mixed Media",e,500 Capitol Way South,Olympia,WA,http://www.acquavia.com/,(360) 357-6677,1,-122.9013848,47.04397362
95,US_Streets,M,81.94,M,"514 Capitol Way S, Olympia, WA, 98501",R,-122.902125,47.048433,0,0,StreetAddress,,,,Capitol,Way,S,Olympia,,,98501,,,,WA,,0,0,0,0,514 SOUTH CAPITOL WAY,OLYMPIA,WA,,,,95,Kitzel's Crazy Delicious Delicatessen,"Carrie O'Neill, Watercolor",m,514 South Capitol Way,Olympia,WA,http://kitzels.blogspot.com/,(360) 357-7747,2,-122.9013734,47.04386244
96,US_Streets,M,81.94,M,"516 Capitol Way S, Olympia, WA, 98501",R,-122.902127,47.048449,0,0,StreetAddress,,,,Capitol,Way,S,Olympia,,,98501,,,,WA,,0,0,0,0,516 S. CAPITOL WAY,OLYMPIA,WA,,,,96,Batdorf & Bronson,"Tamar Krames, Mixed Media; Aimee Beth Leggett, Mixed Media; Cecily Schmidt, Mixed Media",m,516 S. Capitol Way,Olympia,WA,http://www.batdorfcoffee.com/,(360)786-6717,2,-122.9013595,47.04375721
97,US_Streets,M,100,A,"518 Capitol Way S, Olympia, WA, 98501",R,-122.901461,47.043895,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,518 Capitol Way South,Olympia,WA,,,,97,Pizzeria La Gitana,"Marialba Amengual, Acrylics",m,518 Capitol Way South,Olympia,WA,http://pizzerialagitana.com/wordpress/,(360) 753-2929,2,-122.9013783,47.04391503
98,US_Streets,M,100,A,"522 Capitol Way S, Olympia, WA, 98501",R,-122.901456,47.043862,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,522 Capitol Way South,Olympia,WA,,,,98,Sweet Life Boutique,"Devin Fernandez, Acrylic & Oil",e,522 Capitol Way South,Olympia,WA,,(360) 352-7999,1,-122.901364,47.04380978
99,US_RoofTop,M,90.97,A,"615 Washington St SE, Olympia, WA, 98501",L,-122.90016,47.042904,-122.900661,47.04284,Address,,,,,,,,,,,,,,,,0,0,0,0,615 Washington Street Northeast,Olympia,WA,,,,99,Sylvester Park,"Old Geezer Art, Recycled Materials",e,615 Washington Street Northeast,Olympia,WA,,,1,-122.9006844,47.04286787
100,US_Streets,M,100,A,"613 Capitol Way S, Olympia, WA, 98501",L,-122.901494,47.043085,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,613 Capitol Way South,Olympia,WA,,,,100,Spa Aneity,"Erica Keeling, Photography",w,613 Capitol Way South,Olympia,WA,http://www.spaaneity.com/,(360) 357-6953,3,-122.901585,47.04284825
101,US_RoofTop,M,100,A,"609 Capitol Way S, Olympia, WA, 98501",L,-122.90142,47.042892,-122.901811,47.04285,Address,,,,,,,,,,,,,,,,0,0,0,0,609 Capitol Way South,Olympia,WA,,,,101,Bonjour Cupcakes,"Laurel Arts, Mixed Media; Jennifer Langley, Acrylic; Anastatia Maynich, Photography; Adam Mikler, Youth Art; Rex Mikler, Wood, Glass & Steel",m,609 Capitol Way South,Olympia,WA,http://bonjourcupcakes.com/,(360) 515-0564,2,-122.9016028,47.0429463
102,US_RoofTop,M,100,A,"515 Capitol Way S, Olympia, WA, 98501",L,-122.901539,47.043573,-122.901871,47.04354,Address,,,,,,,,,,,,,,,,0,0,0,0,515 Capitol Way South,Olympia,WA,,,,102,Capitol Florist,"Marinka Major, Collage & Photos; Cynthia Salazar, Floral Design; Tatiana Stacy-Montague, Photo Retablos",m,515 Capitol Way South,Olympia,WA,http://www.capitolflorist.com/,(360) 357-5757,2,-122.901678,47.04351478
103,US_RoofTop,M,100,A,"509 Capitol Way S, Olympia, WA, 98501",L,-122.90156,47.043704,-122.901891,47.04368,Address,,,,,,,,,,,,,,,,0,0,0,0,509 Capitol Way South,Olympia,WA,,,,103,Ginger Street,"Jeff McKenzie, Jewelry; Audra Poor, Marlinspike Seamanship",e,509 Capitol Way South,Olympia,WA,http://www.gingerstreetstore.com/,(360) 943-1545,1,-122.9016869,47.04357407
104,US_Streets,M,100,A,"505 Capitol Way S, Olympia, WA, 98501",L,-122.901638,47.043997,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,505 Capitol Way South,Olympia,WA,,,,104,The Mod Fix,"Mimi Williams, Linocut Block Print",e,505 Capitol Way South,Olympia,WA,http://www.themodfix.com/,(360) 943-9883,1,-122.9017142,47.04388934
105,US_RoofTop,M,100,A,"501 Capitol Way S, Olympia, WA, 98501",L,-122.90158,47.043883,-122.901921,47.04387,Address,,,,,,,,,,,,,,,,0,0,0,0,501 Capitol Way South,Olympia,WA,,,,105,g.miller,"Gregg Zart, Photocollage; Chris Maynard, Feather Shadow Box",e,501 Capitol Way South,Olympia,WA,http://www.gmillerolympia.com/,(360) 786-6634,1,-122.9017243,47.04395215
106,US_RoofTop,M,100,A,"421 Capitol Way S, Olympia, WA, 98501",L,-122.90168,47.044554,-122.901991,47.04434,Address,,,,,,,,,,,,,,,,0,0,0,0,421 Capitol Way South,Olympia,WA,,,,106,Olympia Federal Savings,See Fri. Events,e,421 Capitol Way South,Olympia,WA,http://www.olyfed.com/,(360) 754-3400,1,-122.9018898,47.04421556
107,US_RoofTop,M,100,A,"113 4th Ave W, Olympia, WA, 98501",R,-122.902338,47.044812,-122.902321,47.04472,Address,,,,,,,,,,,,,,,,0,0,0,0,113 4th Avenue West,Olympia,WA,,,,107,New Moon Cafe,"Tamara Grunenfelder, Mixed Media Photography",m,113 4th Avenue West,Olympia,WA,http://newmooncafeolympia.com/,(360) 357-3452,2,-122.9023425,47.04474484
108,US_Streets,M,100,A,"118 State Ave NE, Olympia, WA, 98501",L,-122.901549,47.04581,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,118 State Ave NE,Olympia,WA,,,,108,Earth Magic,"Amanda Heller, Mixed Media",e,118 State Ave NE,Olympia,WA,,(360) 754-0357,1,-122.9008348,47.04569793
109,US_RoofTop,M,100,A,"407 Columbia St SW, Olympia, WA, 98501",L,-122.90293,47.044544,-122.903221,47.04451,Address,,,,,,,,,,,,,,,,0,0,0,0,407 Columbia Street Southwest,Olympia,WA,,,,109,The Mark Restaurant,"Douglas Gayeton, Lexicon Pop-up Art Show",m,407 Columbia Street Southwest,Olympia,WA,http://www.themarkolympia.com/,(360) 754-4414,2,-122.9030474,47.04455051
110,US_Streets,M,100,A,"109 5th Ave SW, Olympia, WA, 98501",R,-122.901691,47.043997,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,109 5th Avenue Southwest,Olympia,WA,,,,110,Fosbre Academy of Hair Design,"Paul Bunning, Pastel, Pen & Oil; Jane Chavey, Oil & Pastel; Kit Metlen, Wood Carving",e,109 5th Avenue Southwest,Olympia,WA,http://www.fosbreacademy.net/,(360) 481-6816,1,-122.9021391,47.04393002
111,US_RoofTop,M,100,A,"113 5th Ave SW, Olympia, WA, 98501",R,-122.902228,47.043992,-122.902221,47.04385,Address,,,,,,,,,,,,,,,,0,0,0,0,113 5th Avenue Southwest,Olympia,WA,,,,111,Matter! Gallery,"125 Eco-Artists, Mixed Media & Metalworks",m,113 5th Avenue Southwest,Olympia,WA,http://www.matteroly.com/,(360) 943-1760,2,-122.902245,47.04389441
112,US_Streets,M,100,A,"506 Columbia St SW, Olympia, WA, 98501",R,-122.902716,47.043909,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,506 Columbia Street Southwest,Olympia,WA,,,,112,Aikido of Olympia,See Fri. Events,e,506 Columbia Street Southwest,Olympia,WA,http://aikidoolympia.webs.com/,(360) 701-9798�?,1,-122.9026056,47.04377166
113,US_RoofTop,M,100,A,"510 Columbia St SW, Olympia, WA, 98501",R,-122.902721,47.043645,-122.902391,47.04367,Address,,,,,,,,,,,,,,,,0,0,0,0,510 Columbia Street Southwest,Olympia,WA,,,,113,The Estate Store | Senior Services of South Sound,"Jackie Brennan, Jewelry Design; Mary Schouweiler Knopfler, Jewelry, Paintings & Books; Shannon McDougall, Mixed Media; John Shultz, Restored Trunks",e,510 Columbia Street Southwest,Olympia,WA,http://www.southsoundseniors.org/TheEstateStore.htm,(360) 515-0965,1,-122.9025834,47.04363478
114,US_Streets,M,100,A,"109 Legion Way SW, Olympia, WA, 98501",R,-122.901562,47.043152,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,109 Legion Way SW,Olympia,WA,,,,114,Adesso Restaurant,"Diane Vasarkovy, Watercolor",e,109 Legion Way SW,Olympia,WA,http://www.adessoolympia.com/contact.html,(360) 705-2529�,1,-122.9018522,47.04306091
115,US_Streets,M,100,A,"113 Legion Way SW, Olympia, WA, 98501",R,-122.90161,47.043148,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,113 Legion Way Southwest,Olympia,WA,,,,115,Artists' Gallery,"Arlene Baller, Oil & Pastel; Pete Bryan, Watercolor; Marigem Emde, Acrylic Abstract; Trisha Gooch, Watercolor; Kim Hoover, Woodturning; Jean VanDoren, Mixed Media & Watercolor; Allen Zimmerman, Acrylics & Low Profile 3D",m,113 Legion Way Southwest,Olympia,WA,http://www.theartistsgallery.com/,(360) 357-6920,2,-122.9019745,47.04305512
116,US_RoofTop,M,100,A,"525 Columbia St SW, Olympia, WA, 98501",L,-122.90276,47.043304,-122.903041,47.04327,Address,,,,,,,,,,,,,,,,0,0,0,0,525 Columbia Street Southwest,Olympia,WA,,,,116,Canvas Works,"Olympia Waldorf School, Mixed Media Youth Art",e,525 Columbia Street Southwest,Olympia,WA,http://www.canvasworks.net/,(360) 352-4481,1,-122.9031871,47.04320275
117,US_RoofTop,M,90.97,A,"601 Columbia St SW, Olympia, WA, 98501",L,-122.90271,47.042963,-122.902991,47.04294,Address,,,,,,,,,,,,,,,,0,0,0,0,601 COLUMBIA ST,Olympia,WA,,,,117,Salon Paixao,"Robyn Chance, Watercolor & Open Acrylic; Dawn Corbin, Acrylic",e,601 COLUMBIA ST,Olympia,WA,http://paixaosalon.com/,(360) 956-1033,1,-122.9028126,47.04291244
118,US_Streets,M,100,A,"625 Columbia St SW, Olympia, WA, 98501",L,-122.902632,47.042278,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,625 Columbia St SW,Olympia,WA,,,,118,Olympia Supply Co.,"Kaufman Brothers, Chainsaw Collection",e,625 Columbia St SW,Olympia,WA,http://www.olympiatruevalue.com/,(360) 357-6659,1,-122.9027531,47.0424801
119,US_Streets,M,100,A,"608 Columbia St SW, Olympia, WA, 98501",R,-122.902562,47.042829,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,608 Columbia Street Southwest,Olympia,WA,,,,119,Olympia Food Co-op,"Christine Malek, Fabric",e,608 Columbia Street Southwest,Olympia,WA,http://www.olympiafood.coop/,(360) 754-7666,1,-122.9024568,47.04282334
120,US_RoofTop,M,100,A,"825 Columbia St SW, Olympia, WA, 98501",L,-122.902359,47.040753,-122.902661,47.04068,Address,,,,,,,,,,,,,,,,0,0,0,0,825 Columbia Street Southwest,Olympia,WA,,,,120,Swing Wine Bar *21 or over,"Kristi Duke, Acrylic & Mixed Media; Gabrielle Sagona, Sculpture",w,825 Columbia Street Southwest,Olympia,WA,http://swingwinebar.com/,(360) 357-9464,3,-122.9025876,47.04063333
121,US_CityState,M,100,A,"Olympia, WA",,-122.891359,47.039226,0,0,City,,,,,,,,,,,,,,,,-122.964051,-122.823091,47.00352,47.07799,Legion Way/Columbia & Water ST,Olympia,WA,,,,121,Midnight Timers Car Club,Fri. Only,e,Legion Way/Columbia & Water ST,Olympia,WA,,,1,-122.9036227,47.04317836
122,US_Streets,M,100,A,"211 Legion Way SW, Olympia, WA, 98501",R,-122.90284,47.043054,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,211 Legion Way Southwest,Olympia,WA,,,,122,Olympia Mahayana Buddhist Center,"Amanda Fuller, Photography; Tali Waterman, Pottery",e,211 Legion Way Southwest,Olympia,WA,http://www.meditateinolympia.org/,(360) 754-7787,1,-122.9029554,47.04299137
123,US_RoofTop,M,100,A,"219 Legion Way SW, Olympia, WA, 98501",R,-122.903518,47.043043,-122.903501,47.04282,Address,,,,,,,,,,,,,,,,0,0,0,0,219 Legion Way Southwest,Olympia,WA,,,,123,YOGA Loft,"Tom Anderson, Mixed Media",e,219 Legion Way Southwest,Olympia,WA,http://www.yogaloft.biz/,(360) 870-7876,1,-122.9035379,47.04294534
124,US_Streets,M,100,A,"604 Water St SW, Olympia, WA, 98501",R,-122.903856,47.043017,0,0,StreetAddress,,,,,,,,,,,,,,,,0,0,0,0,604 Water Street Southwest,Olympia,WA,,,,124,Heritage Room,"Rachel Hartman, Upcycled Art; Rachel Pavek, Acrylic & Mixed Media",e,604 Water Street Southwest,Olympia,WA,http://www.occasions-catering.com/heritage.htm,(360) 943-9494,1,-122.9037212,47.0429356
125,US_RoofTop,M,100,A,"300 5th Ave SW, Olympia, WA, 98501",L,-122.904292,47.043897,-122.904321,47.04409,Address,,,,,,,,,,,,,,,,0,0,0,0,300 5th Avenue Southwest,Olympia,WA,,,,125,Traditions Cafe & World Folk Art,"Holly Graham, Ceramic & Paint",w,300 5th Avenue Southwest,Olympia,WA,http://www.traditionsfairtrade.com/,(360) 705-2819,3,-122.9042406,47.043968
